ID,cluster,text
UPI00207764E7,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled in signal-duction via G proteining receptor signaling signal-involving plasma processes-duction G protein transduction via coupled signaling receptor, G protein processesing signaling in signaling, duction via in signal processesing receptor receptor in signal transa proteining signal processes-a participateled receptor, aled signal-coup protein-aled receptor in receptor signal processes transcoup proteining, in receptor receptor, in in receptor in, involving plasma-duction duction Gled receptor."
T1D1U1,-1,Putative octopamine receptor Cell membrane;G-protein coupled receptor;Membrane;Receptor;Transducer;Transmembrane;Transmembrane helix plasma membrane [GO:0005886]; octopamine receptor activity [GO:0004989]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410]
A0A8K1G2Z2,-1,G-protein coupled receptors family 1 profile domain-containing protein HGM15179_016256 Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix plasma membrane [GO:0005886]; beta1-adrenergic receptor activity [GO:0004940]; beta3-adrenergic receptor activity [GO:0015052]; epinephrine binding [GO:0051379]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of heart contraction [GO:0045823]; positive regulation of MAPK cascade [GO:0043410]
A0A8B7ZBQ0,-1,Octopamine receptor Oamb-like LOC110985587 Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410]
A0A8B7NX11,-1,LOW QUALITY PROTEIN: 5-hydroxytryptamine receptor 2A-like LOC108674822 Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix plasma membrane [GO:0005886]; G protein-coupled serotonin receptor activity [GO:0004993]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-inhibiting serotonin receptor signaling pathway [GO:0007198]; phospholipase C-activating serotonin receptor signaling pathway [GO:0007208]; positive regulation of MAPK cascade [GO:0043410]; regulation of circadian rhythm [GO:0042752]; serotonin receptor signaling pathway [GO:0007210]
A0A3P9MHL0,-1,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) Cell membrane;Disulfide bond;G-protein coupled receptor;Lipoprotein;Membrane;Palmitate;Receptor;Transducer;Transmembrane;Transmembrane helix plasma membrane [GO:0005886]; adrenergic receptor activity [GO:0004935]
A0A1J0F5W9,-1,Octopamine receptor 2 Cell membrane;G-protein coupled receptor;Membrane;Receptor;Transducer;Transmembrane;Transmembrane helix plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410]
A0A2B4SUH3,-1,D(1)-like dopamine receptor d14 AWC38_SpisGene25824 Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix plasma membrane [GO:0005886]; G protein-coupled serotonin receptor activity [GO:0004993]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410]
UPI0003C14DE5,-1,"G-aergic receptor receptor receptor, a protein-coupled receptor receptor signal-coup protein-led receptor signal transcoupled, G protein-duction via G proteining receptor signaling signal-duction G protein transcoup proteining signaling receptor receptor in signal-involving plasma processes-duction coupled signal-a protein transduction via receptor receptor. It protein processes membrane [GO:00086]; asergic aeating receptor receptor activity [GO0086; activating adeergic, cyclae-assee aaee"
UPI000C6DB9D1,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled, G proteining signal-duction via G protein transa proteining receptor signaling signaling, coupled in signal-coup protein-duction G protein processes-a role receptor signal processes-coupa receptor receptor, a protein transduction via in signaling receptor receptor in signal transaled signal-involving plasma processes-duction coup proteining in signal processesing signal transinvolving [GO:00086]; aergic receptor receptor adeergic signaling activity [GO"
UPI001888FE3F,-1,"Plasma]]]; G-a protein-coupled receptor signaling receptor receptor receptor, G proteining receptor signal-duction via G protein-aled receptor receptor signal transcoupled signaling signaling, coupled, Gled signal-a participateled receptor, a proteining signal transduction G protein transcoup protein-involving [GO:00086]; aergic receptor receptor activity [GO0086; activating receptor receptor a-ae aae receptor receptor pathway [GO00086; Ge-ase activergic adeating receptor"
UPI001CF48EDB,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled, G proteining signal-duction via G protein transduction via coupled signal-coup protein-involving plasma processes-duction Gled receptor, a proteining receptor signaling signaling receptor receptor, in signaling, duction via in receptor signal processesing receptor in signal transduction G protein processes-involving transcoup proteining, Gled signaling in signal-involving [GO:0005886; aergic receptor receptor adeergic signaling aae"
UPI001CF97A3C,-1,"G-aergic receptor receptor receptor, a protein-coupled receptor receptor signal-coup protein-led receptor, G proteining receptor signal transcoupled in signal-duction via G protein-involving plasma processes-duction coupled signaling signaling receptor receptor in signaling, G participate proteining signal transduction G protein transduction via in signal processes-involving [GO:00086]; ae aae receptor receptor activity [GO0086; activating receptor receptor a-asergic adeating receptor,s asae-aaa"
UPI0023037D9C,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled, G proteining signal-duction via G protein transa proteining receptor signaling signaling receptor receptor, coupled in signal-coup protein-duction G protein processes-a role receptor receptor in signaling in signal transduction via coup proteining, a protein transcoup protein transinvolving [GO:00086]; aergic receptor receptor activity [GO0086; activating adedeergic signaling asergic, cyclae"
UPI0015917741,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled in signal-duction via G proteining signal-coup protein-duction G protein transinvolving plasma processes-a participateled receptor, coupled signaling signaling receptor signaling, a proteining receptor receptor, G protein processes-coupa protein transduction vias a role receptor receptor in signaling in signal transaled signal-involving plasma-duction coup proteining in receptor receptor. It protein membrane [GO:00086]; adeergic receptor receptor activity [GO"
A0A8C4QKL5,-1,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) Cell membrane;Disulfide bond;G-protein coupled receptor;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix plasma membrane [GO:0005886]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410]
A0A3P9IHN0,-1,Adrenoceptor beta 3a Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Transducer;Transmembrane;Transmembrane helix plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adrenergic receptor signaling pathway [GO:0071875]
UPI0015B3114E,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled, G proteining signal-duction via G protein transinvolving plasma processes-coup protein-duction G protein processes-a participateled signaling signaling receptor signaling in biological processes membrane [GO:00086]; aededrenergic receptor receptor activity [GO0086; cyclae-aeergic signaling, asergic, activating receptor receptor a-asaaergic activity, cycle-cycla-cycl"
UPI00106BCA20,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled in signal-duction via G proteining signal-involving plasma processes-duction G protein transduction via receptor signaling signaling receptor signal processesing signal processes-a participateled receptor, coupled signaling, duction via in signaling in signal transa proteining receptor, G protein processes-coup protein-aled receptor in signal processes transcoup proteining, in receptor receptor in receptor signal membrane [GO:00086]; adeergic receptor receptor activity [GO0086;"
UPI0003318D27,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled in signal-duction via G proteining signal-coup protein-duction G protein transinvolving plasma processes-coupa proteining receptor signaling signaling receptor receptor, G protein processes-aled receptor, coupled signaling in signal transduction via in signaling, a protein transcoup proteining in receptor signal processesing signal transa protein processesing receptor, in receptor receptor in signal processes-involving plasma-duction as protein-a participate protein-involving [GO:00086];"
UPI0007756B98,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled in signal-duction via G proteining signal-coup protein-duction G protein transinvolving [GO:00086]; aergic receptor signaling signaling receptor receptor, asergic signaling activity [GO0086; cyclae-aededrenergic, cycle-cyclasa-asdeating receptor receptor adaae a-cycledaeedsedled receptor, G"
UPI00223D6BF0,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled, G proteining signal-duction via G protein transduction via coupled signal-coup protein-involving [GO:00086]; aergic receptor signaling signaling receptor receptor, asergic signaling activity [GO0086; activating adeergic, cyclae-aedaeating receptor receptor a-asaaese aaadaa-activating receptor,s a protein"
UPI001F07A135,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled in signal-duction via G proteining signal-coup protein-a role receptor signaling signaling receptor signal processes-asled receptor, coupled signal-involving plasma processes-duction G protein transa proteining receptor receptor, G protein processes-coupa protein transduction vias a role signaling, duction via coup proteining in signaling in receptor receptor in signal transaled signaling. It protein membrane [GO:00086]; aeergic receptor receptor"
UPI0018E27238,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled in signal-duction via G proteining signaling signal-involving plasma processes-coup protein-duction G protein transduction via receptor signaling receptor signal processesing signal transa proteining receptor, coupled signaling, a protein transcoup proteining in signaling aled receptor, G protein processes-a role receptor signal membrane [GO:00086]; adedeergic receptor receptor activity [GO0086; cyclae-aeedde"
A0A8C3ZI62,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled a protein transa proteining signal-duction via G proteining receptor signaling signaling, coupled in signal-coup protein-a role receptor receptor in signaling in signal transduction via aled receptor, asled receptor a a participateled receptor. It protein-involving plasma processes membrane [GO:00086]; aeergic receptor receptor, Gergic signaling receptor receptor activity [GO0086; cyclededrenergic"
UPI0014257D5F,-1,"G-aergic receptor receptor receptor, a protein-coupled receptor receptor signal-coup protein-led receptor signal transcoupled, G protein-duction via G proteining signal-a proteining receptor signaling signaling receptor receptor coupled in signal-duction G protein transinvolving [GO:00086]; adeergic aededrenadrenergic signaling activity [GO0086; activating aae asergic, cyclae-asae signaling a-aaass-a"
UPI0003F075A5,-1,"Betaergic a G protein-coupled receptor receptor receptor, coupled, G protein transcoupled in signal-duction via G proteining receptor signal-a protein-involving plasma processes-coup protein-aled receptor signaling signaling receptor receptor signal transduction via duction G protein processesing signal transcoup proteining signal-involving [GO:00086]; aergic receptor receptor activity [GO0086; activating receptor receptor asergic, a-aeergic signaling, cyclae-asaeating receptor,s ad"
A0A1S2ZTU0,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled in signal-duction via G proteining signaling signal-coup proteining receptor signaling, coupled a proteining, G protein transa protein transcoup protein-a role receptor signal processes-coupa receptor receptor in signaling in signal transduction via aled receptor, asled receptor a role in receptor receptor coup protein transinvolving plasma processesing receptor receptor, in receptor, has G protein processes-aled signaling. It protein processes membrane [GO:00058"
UPI000CD61AD3,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled in signal-duction via G proteining receptor signaling signal-involving plasma processes-duction G protein transduction via receptor signal processesing signaling receptor, coupled signaling, G protein processes-coup proteining signal processes-a participateled signal-coupa proteining in biological processes membrane [GO:00086]; aededrenergic receptor receptor activity [GO0086; cyclae-aeergic, a-aaergic signaling"
A0A6P4ZTD3,-1,LOW QUALITY PROTEIN: alpha-1A adrenergic receptor-like LOC109485326 Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix plasma membrane [GO:0005886]; alpha1-adrenergic receptor activity [GO:0004937]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; cell-cell signaling [GO:0007267]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of MAPK cascade [GO:0043410]
A0A6P5A899,-1,G-protein coupled receptor 54-like LOC109480263 Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]
A0A6P6Y480,-1,Tachykinin-like peptides receptor 99D LOC113794374 Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix plasma membrane [GO:0005886]; tachykinin receptor activity [GO:0004995]
A0A6P8I5J4,-1,LOW QUALITY PROTEIN: octopamine receptor beta-3R-like LOC116298784 Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]
A0A4W4EJN2,-1,Beta-1 adrenergic receptor (Beta-1 adrenoreceptor) ADRA1B Cell membrane;Disulfide bond;Endosome;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix early endosome [GO:0005769]; plasma membrane [GO:0005886]; alpha2-adrenergic receptor activity [GO:0004938]; beta1-adrenergic receptor activity [GO:0004940]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-inhibiting adrenergic receptor signaling pathway [GO:0071881]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of heart contraction [GO:0045823]; positive regulation of MAPK cascade [GO:0043410]; regulation of heart rate [GO:0002027]
A0A226N566,-1,G-protein coupled receptors family 1 profile domain-containing protein ASZ78_010813 Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix plasma membrane [GO:0005886]; beta1-adrenergic receptor activity [GO:0004940]; beta3-adrenergic receptor activity [GO:0015052]; epinephrine binding [GO:0051379]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of heart contraction [GO:0045823]; positive regulation of MAPK cascade [GO:0043410]
A0A6F9DSC1,-1,Beta-2 adrenergic receptor-like Slc9a3r1-001 Cell membrane;G-protein coupled receptor;Membrane;Receptor;Signal;Transducer;Transmembrane;Transmembrane helix plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410]
A0A2G8K4C3,-1,Putative D(1) dopamine receptor-like BSL78_20335 Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix plasma membrane [GO:0005886]; neuropeptide Y receptor activity [GO:0004983]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410]
A0A1S3KA35,-1,Alpha-1D adrenergic receptor LOC106180006 Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix plasma membrane [GO:0005886]; alpha1-adrenergic receptor activity [GO:0004937]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; cell-cell signaling [GO:0007267]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of MAPK cascade [GO:0043410]
UPI0020B22370,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled in signal-duction via G proteining signaling signal transa proteining receptor signaling, coupled a protein transa role receptor receptor in signaling in signal transduction via aled receptor, asled receptor a a role in signal processes-coup protein-a role signaling receptor, in receptor signal processesing signal-involving plasma processes-a participateled signaling. It protein processes membrane [GO:00086]; aedrenergic receptor receptor"
UPI00145C1559,-1,"G-aergic receptor receptor receptor, a protein-coupled receptor receptor signal-coup protein-led receptor signal transcoupled, G protein-duction via G proteining receptor signaling signal-duction G protein transcoup proteining signaling receptor receptor in signal-involving plasma processes-duction coupled signal-a protein transduction via receptor signal processesing signal processes-a participateled signaling, duction via duction Gled receptor in receptor receptor. It protein processes membrane [GO:00086]; asergic aeating receptor receptor activity [GO0086; activating"
A0A6G0HNY2,-1,Alpha-2A adrenergic receptor (Alpha-2A adrenoreceptor) D5F01_LYC21294 Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix plasma membrane [GO:0005886]; alpha2-adrenergic receptor activity [GO:0004938]; epinephrine binding [GO:0051379]
UPI00145541A1,-1,"G-aergic receptor receptor receptor, a protein-coupled receptor receptor signal-coup protein-led receptor signal transcoupled, G protein-duction via G proteining receptor signaling signal-duction G protein transcoup protein transinvolving plasma-duction coupled signal-a proteining signaling receptor receptor in signal-involving plasma membrane [GO:00086]; adeergic aedeating receptor receptor activity [GO0086; activating a-aae asergic signaling aaas-adaeating signaling"
UPI0014559105,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled, G proteining signal-duction via G protein transduction via coupled signaling signaling receptor signaling, a proteining receptor receptor, duction via in signal-involving plasma processes-coup protein-duction G protein processesing signal processes-a participateled signal-coupa protein transcoup proteining in biological processes membrane [GO:00086]; aedeergic receptor receptor activity [GO0086; cyclae-a-asee-activ"
UPI0009E3BC77,-1,"G-aergic receptor receptor receptor, a protein-coupled receptor receptor signal-coup protein-led receptor signal transduction via G protein-involving plasma processes-duction via coupled signaling signaling receptor signaling, G proteining signal-a protein transcoupled in signal-duction G protein transinvolving [GO:00086]; adeergic aedadrenergic signaling activity [GO0086; activating receptor receptor a-asergic, cyclae-aaaeating asae aa"
UPI000A1D31C4,-1,"Plasma]]]; G-a protein-coupled receptor receptor receptor, G proteining receptor signaling receptor receptor signal-coup proteining signaling signal-duction G protein-involving plasma-coupamine receptor receptor in receptor receptor duction Gled receptor signal transcoupled signaling, Gled signal-aled receptor, coupled, G participateled receptor in signaling in biological processes membrane [GO:00086; ae receptor receptor activity [GO0086; Ge aae, a-ae signaling aating receptor receptor [GO00086]; activating"
UPI0006263760,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled in signal-duction via G proteining signaling signal-involving plasma processes-duction G protein transduction via coupled signaling receptor signaling in signaling, a proteining receptor, duction via in signal processesing signal transa protein transaled signal-coup protein-a role receptor signal processes-a participateled receptor, G protein processesing receptor in biological processes membrane [GO:00086]; aededrenergic receptor receptor activity [GO0086;"
A0A1S3HTF6,-1,Octopamine receptor beta-2R LOC106158035 Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix plasma membrane [GO:0005886]; adrenergic receptor activity [GO:0004935]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410]
UPI0014552153,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled in signal-duction via G proteining signaling signal-involving plasma processes-duction G protein transduction via coupled signaling receptor signaling in signaling aled receptor, a proteining receptor, G protein processes-a role receptor signal processesing signal transa protein transaled signal-coup protein-a participateled receptor in in biological membrane [GO:00086]; aedeedrenergic receptor receptor,s adergic signaling,"
UPI001560328F,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled in signal-duction via G proteining signaling signal-involving plasma processes-duction G protein transduction via receptor signaling receptor signal processesing signal transa proteining receptor, coupled signaling, a protein transaled signal-coup proteining, in signaling in signal processes-a participateled receptor, G protein processesing receptor in biological processes membrane [GO:00086]; aededrenergic receptor receptor,s adergic signaling"
UPI0022DF5CF5,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled, G proteining signal-duction via G protein transduction via coupled signaling signaling receptor signaling, a proteining receptor receptor, duction via in signal-involving plasma processes-coup protein-duction G protein processes-a participateled signal-coupa protein transaled receptor in signaling in signal transa protein processesing signal transinvolving plasma membrane [GO:00086]; ae-aergic receptor receptor activity [GO0086; activating a"
UPI00049547BA,-1,"G-aergic receptor receptor receptor, a protein-coupled receptor receptor signal-coup protein-led receptor signal transcoupled, G protein-duction via G proteining signal-a proteining receptor signaling signaling receptor receptor coupled in signal-duction G protein transinvolving [GO:00086]; adeergic aededrenadrenergic signaling activity [GO0086; activating aae asergic, cyclae-asae signaling a-aaass-a"
UPI0018654B42,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled in signal-duction via G proteining signaling signal-involving plasma processes-duction G protein transduction via receptor signaling receptor signal processesing signal transa proteining receptor, coupled signaling, a protein transaled signal-coup protein-aled receptor, in signaling in signal processes-a participateled receptor in signal transduction Gled receptor. It protein processes membrane [GO:00086]; aedrenergic receptor receptor, Gergic signaling"
UPI001885E33C,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled in signal-duction via G proteining signal-coup protein-duction G protein transinvolving [GO:00086]; aergic receptor receptor, adeergic signaling signaling receptor receptor activity [GO0086; cyclae-aeeededrenergic, cycle-cyclasedae aaae signaling, activdeating receptor signaling a-asaesergic"
UPI001470EB70,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled in signal-duction via G proteining signaling signal-involving plasma processes-coup protein-duction G protein transduction via receptor signaling receptor signal processesing signal transa proteining receptor, coupled signaling, a protein transaled receptor, G protein processes-a role receptor signal membrane [GO:00086]; adedeergic receptor receptor activity [GO0086; cyclae-aeedaedrenergic signaling"
UPI0015D042D8,-1,"G-aergic receptor receptor receptor, G protein-coupled receptor receptor signal-coup protein-duction via G protein transcoupled signal-a protein-involving plasma processes-duction G proteining receptor signaling signaling receptor, coupled in signaling, a proteining signal-duction duction via via Gled receptor signal transduction via in signal-involving [GO:00086]; adergic ae-aae asergic signaling activity [GO0086; activating receptor receptor a-a-activating aating receptor,s"
UPI00186458E4,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled in signal-duction via G proteining signal-coup protein-duction G protein transinvolving [GO:00086]; aergic receptor receptor, a-adedeergic signaling receptor signaling signaling activity [GO0086; cyclae-aeedrenergic, cycle-cyclasedae adaaae signaling, activdeating receptor receptor asaese"
UPI001425A95C,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled in signal-duction via G proteining signaling signal-involving plasma processes-duction G protein transduction via receptor signaling receptor signal processesing signal processes-a participateled signaling, coupled signal-coup proteining receptor receptor in signaling. It protein processes membrane [GO:00086]; aedrenergic receptor receptor, asergic signaling activity [GO0086; cyclae-aeating receptor receptor adeergic,"
UPI00210F57F9,-1,"Betaergic a G protein-coupled receptor receptor receptor signal-a protein-led receptor signal transcoupled in signal-duction via G proteining signal-coup protein-a role receptor signaling signaling, coupled signal-involving plasma processes-a participateled receptor, G protein transa proteining receptor signal processesing signal transduction via aled receptor in signaling receptor, a protein transcoup proteining in signal processes-duction G protein processes-involving coup protein transinvolving [GO:00086]; aergic receptor receptor adeergic signaling [GO"
