Entry,hybrid_cluster,Protein names,Gene Names,Keywords,Gene Ontology (GO),Function [CC]
A0A8D0GD39,0,G-protein coupled receptors family 1 profile domain-containing protein,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A8C4QEZ8,0,G-protein coupled receptors family 1 profile domain-containing protein,,Behavior;Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; serotonin binding [GO:0051378]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A1I8JE50,0,G_PROTEIN_RECEP_F1_2 domain-containing protein,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled serotonin receptor activity [GO:0004993]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A5E4R305,0,G-protein coupled receptors family 1 profile domain-containing protein,LSINAPIS_LOCUS13570,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
E9G3B6,0,G-protein coupled receptors family 1 profile domain-containing protein,DOP-R DAPPUDRAFT_45558,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A914A3Y1,0,G-protein coupled receptors family 1 profile domain-containing protein,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930],
A0A8S1GNI4,0,G-protein coupled receptors family 1 profile domain-containing protein,CAUJ_LOCUS1094,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled serotonin receptor activity [GO:0004993]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A8C3QLB0,0,G-protein coupled receptors family 1 profile domain-containing protein,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A8S3YDA6,0,G-protein coupled receptors family 1 profile domain-containing protein,CUNI_LOCUS555,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A7R9RY72,0,G-protein coupled receptors family 1 profile domain-containing protein,AFOL1_LOCUS64199,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; octopamine receptor activity [GO:0004989]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A7R9BME2,0,G-protein coupled receptors family 1 profile domain-containing protein,NMOB1V02_LOCUS5456,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; adrenergic receptor activity [GO:0004935]; G protein-coupled serotonin receptor activity [GO:0004993]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
R7V7U1,0,G-protein coupled receptors family 1 profile domain-containing protein,CAPTEDRAFT_138860,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"plasma membrane [GO:0005886]; synapse [GO:0045202]; dopamine neurotransmitter receptor activity, coupled via Gi/Go [GO:0001591]; G protein-coupled receptor activity [GO:0004930]",
F7BLL2,0,G-protein coupled receptors family 1 profile domain-containing protein,,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A433U5X8,0,G-protein coupled receptors family 1 profile domain-containing protein,EGW08_003010,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; octopamine receptor activity [GO:0004989]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A3L8RTY4,0,G-protein coupled receptors family 1 profile domain-containing protein,DV515_00015907,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A1I8PYB9,0,G-protein coupled receptors family 1 profile domain-containing protein,106087268,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A8S4NY27,0,G-protein coupled receptors family 1 profile domain-containing protein,OFUS_LOCUS11023,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; octopamine receptor activity [GO:0004989]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A814JYF6,0,G-protein coupled receptors family 1 profile domain-containing protein,EDS130_LOCUS17125,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A7M4FIY5,0,G-protein coupled receptors family 1 profile domain-containing protein,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A183VWV4,0,G_PROTEIN_RECEP_F1_2 domain-containing protein,,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A7I8W0N7,0,G-protein coupled receptors family 1 profile domain-containing protein,DGYR_LOCUS8435,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; adrenergic receptor activity [GO:0004935]; G protein-coupled serotonin receptor activity [GO:0004993]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A913Z6W9,0,G-protein coupled receptors family 1 profile domain-containing protein,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A8C4QI61,0,G-protein coupled receptors family 1 profile domain-containing protein,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A7R9BND6,0,G-protein coupled receptors family 1 profile domain-containing protein,NMOB1V02_LOCUS4911,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; octopamine receptor activity [GO:0004989]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
R7V8L8,0,G-protein coupled receptors family 1 profile domain-containing protein,CAPTEDRAFT_24565,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled serotonin receptor activity [GO:0004993]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A016UUZ5,0,G-protein coupled receptors family 1 profile domain-containing protein,Acey_s0028.g1782 Acey-ser-7 Y032_0028g1782,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled serotonin receptor activity [GO:0004993]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A8C4QWV7,0,G-protein coupled receptors family 1 profile domain-containing protein,,Behavior;Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; serotonin binding [GO:0051378]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A8S1DF82,0,G-protein coupled receptors family 1 profile domain-containing protein,CLODIP_2_CD04131,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled serotonin receptor activity [GO:0004993]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A8S4NPH6,0,G-protein coupled receptors family 1 profile domain-containing protein,OFUS_LOCUS9578,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A7M7PAC9,0,G-protein coupled receptors family 1 profile domain-containing protein,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A0N5B4U1,0,G_PROTEIN_RECEP_F1_2 domain-containing protein,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled serotonin receptor activity [GO:0004993]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A7I8W5A6,0,G-protein coupled receptors family 1 profile domain-containing protein,DGYR_LOCUS11094,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A0L8GS86,0,G-protein coupled receptors family 1 profile domain-containing protein,OCBIM_22028857mg,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled serotonin receptor activity [GO:0004993]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A3M6UZA3,0,G-protein coupled receptors family 1 profile domain-containing protein,pdam_00014606,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled serotonin receptor activity [GO:0004993]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A1D1UV58,0,G-protein coupled receptors family 1 profile domain-containing protein,RvY_03452-1 RvY_03452.1 RvY_03452,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A8T0B517,0,G-protein coupled receptors family 1 profile domain-containing protein,HF521_002074,Behavior;Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; alpha2-adrenergic receptor activity [GO:0004938]; serotonin binding [GO:0051378]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-inhibiting adrenergic receptor signaling pathway [GO:0071881]; positive regulation of MAPK cascade [GO:0043410],
A0A8S3Z240,0,G-protein coupled receptors family 1 profile domain-containing protein,CUNI_LOCUS6264,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; octopamine receptor activity [GO:0004989]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A0L8H0K2,0,G-protein coupled receptors family 1 profile domain-containing protein,OCBIM_22024868mg,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; octopamine receptor activity [GO:0004989],
A0A267GRJ8,0,G-protein coupled receptors family 1 profile domain-containing protein,BOX15_Mlig014623g1,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled serotonin receptor activity [GO:0004993]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A6H5HRN0,0,G-protein coupled receptors family 1 profile domain-containing protein,NTEN_LOCUS23910,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A2T7P997,0,G-protein coupled receptors family 1 profile domain-containing protein,C0Q70_09249,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; octopamine receptor activity [GO:0004989]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
